1750705669.264619,30.2,83.4,0
1750705969.274307,20.2,82.4,0
1750706269.273247,23.2,83.1,0
1750707841.688,9.5,82.2,0
1750709076.59251,23.1,82.8,0
1750709587.7137349,22.5,73.2,0
1750709887.725565,18.8,74.6,0
1750714566.263322,23.0,77.5,0
1750718756.145909,26.1,77.8,0
1750719517.4521952,21.6,78.2,0
1750724029.680992,27.1,79.1,0
1750728203.60048,27.1,80.2,0
1750732576.3491788,23.5,78.5,0
1750732876.350208,24.5,81.5,0
1750733176.352045,25.2,82.2,0
1750733476.3958652,14.5,82.3,0
1750752449.914942,16.9,83.3,0
1750792727.593151,26.0,82.1,0
1750820198.9542341,20.8,79.1,0
1750820498.962079,16.2,83.0,0
1750820798.974787,12.1,84.5,0
1750821098.9697611,16.3,83.3,0
1750821398.99735,15.2,84.4,0
1750821699.008631,13.1,83.5,0
1750821999.023446,9.7,81.3,0
1750822299.0280719,10.2,81.9,0
1750822599.0367959,12.7,83.3,0
1750822899.046123,14.4,85.2,0
1750823199.9921029,13.1,79.6,0
1750823556.352756,21.0,85.4,0
1750823856.5282528,14.1,85.5,0.5449124098881838
1750824156.639256,14.4,84.3,0.4789845592597708
1750824456.745497,18.8,79.5,0.49617351252513797
1750824756.852911,15.8,82.0,0.4466739368467222
1750825056.9637911,15.6,84.7,0.48126292353061983
1750826221.7464461,20.6,84.3,0.4752183153580687
1750827515.9800289,12.4,79.5,0.5364682842572941
1750833856.163069,18.4,82.6,0.42965321645072796
1750863986.770781,25.6,82.9,0.48000205456326617
1750864286.8997571,15.9,81.3,0.48462222875014294
1750864586.9960918,15.5,85.0,0.5240361899405214
1750864887.1080031,16.5,85.1,0.5042330791511642
1750865187.227982,12.9,82.6,0.44478302500880584
1750865487.334902,13.1,82.4,0.44579900490218494
1750865787.414449,10.0,85.2,0.5872430636103083
1750866214.172836,12.8,82.1,0.4556567323717975
1750866521.260705,11.6,81.2,0.510264838221231
1750867069.426393,15.2,82.6,0.45021573852640495
1750867803.7565172,21.2,83.1,0.43305252454070287
1750881361.264748,19.4,85.0,0.5241475172021046
1750881661.3972428,25.0,85.5,0.5721989593460844
1750881961.523645,23.0,84.7,0.5012627705169542
1750882261.643785,24.8,83.5,0.4823127697317906
1750882561.710377,25.9,85.3,0.5557835521393274
1750882861.82813,22.8,84.5,0.47742636916473125
1750883161.9421482,21.3,85.5,0.5366933476544524
1750883462.0681431,23.5,85.5,0.5578462763842544
1750883762.184459,23.3,82.4,0.4257939812152993
1750884062.3094342,22.6,85.5,0.5333016736038153
1750884362.470328,23.2,84.7,0.5205498980222321
1750884662.601929,24.2,84.9,0.5205364256398538
1750884962.712033,21.3,85.1,0.5419163161098193
1750885262.807421,21.9,84.6,0.499051135613119
1750885562.9282691,20.7,84.8,0.5201153237952679
1750885863.0512052,19.3,85.0,0.516015473239433
1750886163.132877,38.5,85.2,0.6586820118018727
1750886463.2458482,35.5,85.8,0.632049391062541
1750886763.355826,32.5,81.0,0.5998680218777794
1750887063.4747672,25.0,83.1,0.44702613038818517
1750888935.474067,30.5,84.3,0.653897766278516
1750889235.572766,24.4,85.0,0.5241959134002545
1750889535.69595,25.0,79.6,0.4723839724010186
1750889835.814535,23.4,81.6,0.4449288636141404
1750890135.9345129,24.0,84.9,0.5442355690574071
1750890436.031671,24.7,84.8,0.5168412282764828
1750890736.151287,22.4,82.9,0.4349943967544153
